,ID,genero,casado,idade,graduacao,profissao,experiencia_de_trabalho,pontuacao_gasto,tamanho_familia,var_1,seguimentacao
0,458989,FEMININO,SIM,36,SIM,ENGENHEIRO,0.0,BAIXO,1.0,Cat_6,B
1,458994,MASCULINO,SIM,37,SIM,ASSISTENCIA_MEDICA,8.0,MEDIO,4.0,Cat_6,A
3,459000,MASCULINO,SIM,59,NAO,EXECUTIVO,11.0,ALTO,2.0,Cat_6,B
5,459003,MASCULINO,SIM,47,SIM,DOUTOR,0.0,ALTO,5.0,Cat_4,C
6,459005,MASCULINO,SIM,61,SIM,DOUTOR,5.0,BAIXO,3.0,Cat_6,D
7,459008,FEMININO,SIM,47,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,D
8,459013,MASCULINO,SIM,50,SIM,ARTISTA,2.0,MEDIO,4.0,Cat_6,B
9,459014,MASCULINO,NAO,19,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_6,B
10,459015,MASCULINO,NAO,22,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_6,D
11,459016,FEMININO,NAO,22,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,6.0,Cat_6,D
12,459024,MASCULINO,SIM,50,SIM,ARTISTA,1.0,MEDIO,5.0,Cat_6,A
13,459026,MASCULINO,NAO,27,NAO,ASSISTENCIA_MEDICA,8.0,BAIXO,3.0,Cat_3,D
14,459032,MASCULINO,NAO,18,NAO,DOUTOR,0.0,BAIXO,3.0,Cat_6,D
15,459033,FEMININO,SIM,61,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
16,459036,FEMININO,SIM,20,SIM,ADVOGADO,1.0,MEDIO,3.0,Cat_3,D
17,459039,MASCULINO,SIM,45,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_6,B
18,459041,MASCULINO,SIM,55,SIM,ARTISTA,8.0,BAIXO,1.0,Cat_6,B
